ID,start_date,year,month,receiver_country,initiator_country,cyber_conflict_issue,offline_conflict_issue_subcode,receiver_region
25,2006-01-01,2006.0,1.0,Vietnam,China,Unknown,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Germany,China,Unknown,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,India,China,Unknown,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Japan,China,Unknown,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,United Kingdom,China,Unknown,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
26,2006-01-01,2006.0,1.0,Canada,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,2006.0,1.0,Japan,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,2006.0,1.0,Switzerland,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,2006.0,1.0,India,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,2006.0,1.0,Germany,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,2006.0,1.0,United Arab Emirates,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,2006.0,1.0,Brazil,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,2006.0,1.0,United States,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,2006.0,1.0,United Kingdom,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,2006.0,1.0,France,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
27,2006-01-01,2006.0,1.0,Belgium,United States,International power,,"['EUROPE', 'EU(MS)', 'NATO', 'WESTEU']"
28,2006-03-01,2006.0,3.0,Denmark,Unknown,System / ideology,,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
29,2006-06-01,2006.0,6.0,United States,China,Unknown,,"['NATO', 'NORTHAM']"
30,2006-06-08,2006.0,6.0,Germany,Germany,Unknown,,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA']"
30,2006-06-08,2006.0,6.0,Afghanistan,Germany,Unknown,,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA']"
31,2006-08-01,2006.0,8.0,United States,China,System / ideology,,"['NATO', 'NORTHAM']"
32,2006-08-01,2006.0,8.0,United States,China,Resources,,"['NATO', 'NORTHAM']"
33,2006-11-15,2006.0,11.0,United States,China,Unknown,,"['NATO', 'NORTHAM']"
34,2006-01-01,2006.0,1.0,United States,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
34,2006-01-01,2006.0,1.0,India,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
34,2006-01-01,2006.0,1.0,Belgium,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
34,2006-01-01,2006.0,1.0,Taiwan,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
34,2006-01-01,2006.0,1.0,United Kingdom,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
34,2006-01-01,2006.0,1.0,Switzerland,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
34,2006-01-01,2006.0,1.0,Japan,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
34,2006-01-01,2006.0,1.0,Israel,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
34,2006-01-01,2006.0,1.0,Canada,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
34,2006-01-01,2006.0,1.0,Singapore,China,International power,,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Russia,China,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Russia,Russia,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Kazakhstan,China,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Kazakhstan,Russia,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Azerbaijan,China,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Azerbaijan,Russia,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Belgium,China,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Belgium,Russia,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,India,China,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,India,Russia,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Afghanistan,China,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Afghanistan,Russia,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Armenia,China,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Armenia,Russia,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,"Iran, Islamic Republic of",China,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,"Iran, Islamic Republic of",Russia,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Turkmenistan,China,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Turkmenistan,Russia,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Ukraine,China,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
35,2007-01-01,2007.0,1.0,Ukraine,Russia,Unknown,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO', 'ASIA', 'CENTAS', 'EU(MS)', 'NATO', 'WESTEU', 'SASIA', 'MENA', 'MEA']"
36,2007-01-01,2007.0,1.0,United States,China,Unknown,,"['NATO', 'NORTHAM']"
37,2007-01-01,2007.0,1.0,Sweden,Turkey,System / ideology,,"['EUROPE', 'EU(MS)', 'NORTHEU']"
38,2007-01-01,2007.0,1.0,Turkey,Sweden,System / ideology,,"['ASIA', 'NATO', 'MEA']"
39,2007-01-01,2007.0,1.0,"Iran, Islamic Republic of",Unknown,National power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,"Iran, Islamic Republic of",Unknown,International power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,United States,Unknown,National power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,United States,Unknown,International power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,Denmark,Unknown,National power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,Denmark,Unknown,International power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,Israel,Unknown,National power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,Israel,Unknown,International power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,Saudi Arabia,Unknown,National power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,Saudi Arabia,Unknown,International power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,Pakistan,Unknown,National power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,Pakistan,Unknown,International power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,Afghanistan,Unknown,National power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,Afghanistan,Unknown,International power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,Iraq,Unknown,National power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
39,2007-01-01,2007.0,1.0,Iraq,Unknown,International power,,"['ASIA', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'GULFC', 'SASIA', 'SCO']"
40,2007-01-01,2007.0,1.0,"Korea, Democratic People's Republic of","Korea, Republic of",Unknown,,"['ASIA', 'NEA', 'SCS', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'NO_REGION']"
40,2007-01-01,2007.0,1.0,Japan,"Korea, Republic of",Unknown,,"['ASIA', 'NEA', 'SCS', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'NO_REGION']"
40,2007-01-01,2007.0,1.0,India,"Korea, Republic of",Unknown,,"['ASIA', 'NEA', 'SCS', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'NO_REGION']"
40,2007-01-01,2007.0,1.0,United States,"Korea, Republic of",Unknown,,"['ASIA', 'NEA', 'SCS', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'NO_REGION']"
40,2007-01-01,2007.0,1.0,Asia (region),"Korea, Republic of",Unknown,,"['ASIA', 'NEA', 'SCS', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'NO_REGION']"
41,2007-01-01,2007.0,1.0,United States,Russia,Unknown,,"['NATO', 'NORTHAM']"
42,2007-01-01,2007.0,1.0,China,Unknown,Unknown,,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
43,2007-01-01,2007.0,1.0,Morocco,Unknown,Unknown,,"['AFRICA', 'NAF', 'MENA', 'SOUTHAM', 'EUROPE', 'NATO', 'EU(MS)', 'NORTHEU', 'WESTEU', 'MEA', 'NORTHAM']"
43,2007-01-01,2007.0,1.0,Brazil,Unknown,Unknown,,"['AFRICA', 'NAF', 'MENA', 'SOUTHAM', 'EUROPE', 'NATO', 'EU(MS)', 'NORTHEU', 'WESTEU', 'MEA', 'NORTHAM']"
43,2007-01-01,2007.0,1.0,United Kingdom,Unknown,Unknown,,"['AFRICA', 'NAF', 'MENA', 'SOUTHAM', 'EUROPE', 'NATO', 'EU(MS)', 'NORTHEU', 'WESTEU', 'MEA', 'NORTHAM']"
43,2007-01-01,2007.0,1.0,Spain,Unknown,Unknown,,"['AFRICA', 'NAF', 'MENA', 'SOUTHAM', 'EUROPE', 'NATO', 'EU(MS)', 'NORTHEU', 'WESTEU', 'MEA', 'NORTHAM']"
43,2007-01-01,2007.0,1.0,France,Unknown,Unknown,,"['AFRICA', 'NAF', 'MENA', 'SOUTHAM', 'EUROPE', 'NATO', 'EU(MS)', 'NORTHEU', 'WESTEU', 'MEA', 'NORTHAM']"
43,2007-01-01,2007.0,1.0,Switzerland,Unknown,Unknown,,"['AFRICA', 'NAF', 'MENA', 'SOUTHAM', 'EUROPE', 'NATO', 'EU(MS)', 'NORTHEU', 'WESTEU', 'MEA', 'NORTHAM']"
